onset	duration	sample	trial_type	response_time	stim_file	value
562.8060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
564.8900000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
565.6400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
565.7080000000	n/a	n/a	FB: +1	n/a	n/a	S  8
567.7920000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
568.5120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
568.5760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
570.6620000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
571.4620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
573.5640000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
574.0200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
574.0800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
576.1660000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
576.7480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
576.8160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
578.9020000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
579.4800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
579.5520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
581.6360000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
582.2080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
582.2700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
584.3560000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
585.0640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
585.1220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
587.2080000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
587.9800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
588.0420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
590.1260000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
590.8840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
590.9440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
593.0280000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
593.6760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
593.7460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
595.8300000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
596.3200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
596.3820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
598.4660000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
599.2660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
601.3680000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
